CompanyName,Sector,Stage,Fund_Amount,HeadQuarter,What_it_does,Funding_Year
Simple Energy,Automotive,Pre-series,$21000000,Bangalore,A Research and development driven company on a mission to build the future of mobility that is electric and connected.,2021
Dream Sports,Sports,,$840000000,Mumbai,"Dream Sports is India’s leading sports technology company with brands such as Dream11, world’s largest fantasy sports platform",2021
Spinny,Automotive,Series E,$248000000,Gurugram,Spinny is a new age used car end-to-end platform in India.,2021
Rentomojo,Furniture Rental,,$10000000,Bangalore,"Furniture, appliances, electronics, and fitness products on monthly rental subscriptions.",2021
Slice,Financial Services,Series B,$220000000,Bangalore,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards",2021
21K School,E-learning,Pre-series A,$5000000,Bangalore,"21K School is India's First Online School that provides a complete online school experience and personalized learning – anytime, anywhere.",2021
Adda247,E-learning,Series B,$20000000,Gurugram,"The multilingual edtech platform provides 360 degree learning solutions catering to all major educational needs of Tier II, tier III including online courses for  competitive exams",2021
Loop Health,Hospital & Health Care,,$12000000,Pune,India's first health insurance with unlimited primary care for employees.,2021
Rupifi,Financial Services,Debt,$1000000,Bangalore,Embedded Lending for Small Businesses,2021
RENEE Cosmetics,Cosmetics,Pre-series A,$1500000,Ahmedabad,"RENÉE Cosmetics is an Indian makeup brand empowering bold & beautiful women with innovative, cruelty-free products.",2021
Svish,Consumer Goods,Seed,$400000,Gurugram,D2C personal hygiene startup,2021
Progcap,FinTech,Series C,$30000000,New Delhi,"Progcap (Desiderata Impact Ventures Private Limited) is a mission-driven, inclusive financing technology firm",2021
Smartstaff,Recruitment,,$4300000,Bangalore,Smartstaff (previously Qikwork) is a full stack blue-collar workforce management platform.,2021
D’Moksha Homes,Textiles,Seed,$570000,Mumbai,"Artisans handcraft exquisite and environment-friendly home linens using only the most sustainable fabrics like linen, hemp, and lyocell.",2021
ANS Commerce,E-commerce,Pre-series A,$2200000,Gurugram,ANS Commerce is India’s #1 full-stack e-commerce enabler helping brands sell online.,2021
Mobileware Technologies,Information Technology & Services,,$4700000,Mumbai,"A mobile applications development platform for technologies including Symbian, Blackberry, and early versions of iOS and Android.",2021
GramCover,Insurance,Series A,$7000000,Noida,GramCover is a tech-enabled insurance marketplace for rural India.,2021
BYJU'S,EdTech,,$300000000,Bangalore,BYJU’S is India's largest ed-tech company and the creator of India’s most loved school learning app.,2021
Hyperface,Information Technology & Services,,$1300000,Bangalore,Empowering Brands and Fintechs to offer banking products contextually to their customers.,2021
Licious,Food & Beverages,Series G,$52000000,Bangalore,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.",2021
Chalo,Mobility,Series C,$40000000,Mumbai,India’s #1 bus transport technology company.,2021
Kaar Technologies,Information Technology & Services,,$4000000,Chennai,"Kaar Technologies is an SAP global consultancy firm that designs, delivers and deploys cutting-edge SAP solutions for businesses around the world.",2021
Kissan Pro,Farming,,$Undisclosed,Jharkhand,"Full stack solution on agri advisory, input purchase and market linkage",2021
Sunstone Eduversity,EdTech,Series B,$28000000,Gurugram,Sunstone Eduversity is a one-of-its-kind business school operating in an asset-light model since 2011.,2021
Ozonetel,Telecommunications,Series A,$5000000,Hyderabad,Ozonetel is leading Cloud Telephony solution provider.,2021
CoinSwitch Kuber,Crypto,Series C,$260000000,Bangalore,"CoinSwitch Kuber is the largest crypto trading platform in India with a user base of 10M+, in just 15 months and growing every second.",2021
Pazcare,Insurance,Seed,$3500000,Bangalore,Paz Care is India's leading Employee Benefits & Health insurance platform,2021
kWh Bikes,Automotive,Seed,$2000000,Bangalore,Building India’s strongest and smartest electric 2 wheelers,2021
IBSFINtech,Information Technology & Services,Pre-series A,$1000000,Bangalore,"Driving Digitization & Automation of Cash & Liquidity, Risk, Treasury & Trade Finance functions of the Corporate.",2021
LeadSquared,Computer Software,,$Undisclosed,Bangalore,"LeadSquared is a marketing automation and sales execution platform that helps businesses increase their closures, manage their pipelines",2021
Phool.co,Renewables & Environment,,$Undisclosed,Kanpur,Flowercycling technologies to upcycle cellulose waste and specialises in manufacturing charcoal-free incense and other wellness products,2021
Twin Health,"Health, Wellness & Fitness",Series C,$140000000,Chennai,Twin Health invented the Whole Body Digital Twin™ to help reverse and prevent chronic metabolic diseases.,2021
Trica,Equity Management,Seed,$3000000,Mumbai,Powering private markets - A technology platform for startups and investors.,2021
mHealth,"Health, Wellness & Fitness",Seed,$Undisclosed,New Delhi,mHealth  is AI based corporate wellness platform  to spread happiness & well-being,2021
Rebel Foods,Cloud kitchen,Series F,$175000000,Mumbai,"World’s largest internet restaurant company. Building Unique, Memorable, Delightful & Sure delivery-only restaurants.",2021
ProfitWheel,Marketing & Advertising,Seed,$3000000,Mumbai,ProfitWheel's belief is that only a fraction of customers drive the most profitability for a brand - and we want to help increase their high value customer base.,2021
Log 9 Materials,Nanotechnology,,$2000000,Bangalore,Log9 Materials is on a mission to make global energy 100% clean.,2021
Chingari,Entertainment,,$19000000,Bangalore,"Chingari - Bharat Ka Super Entertainment App. A unique and fun short video app, can create interesting videos and share them with the world.",2021
Ishitva,Computer Software,Pre-series A,$1000000,Ahmedabad,"Sort to create value’ using #AI, #Robotics and #AirSorter to achieve a #circulareconomy with environmental benefits.",2021
Ola Electric,Automotive,,$200000000,Bangalore,Sustainability for the future.,2021
leap.club,Community,Pre-series A,$810000,Gurugram,A community-led professional network for women,2021
F5,Retail,Pre-series A,$600000,New Delhi,One-Stop Solution for Daily Workplace Needs,2021
ForeignAdmits,Higher Education,Seed,$400000,Bangalore,“foreignadmits” aims at addressing one of the biggest problems of personalized mentoring for students aiming to pursue higher education and eventually become an expert in their desired discipline of study.,2021
SALT,Financial Services,Pre-seed,$500000,Bangalore,Salt is a neo-banking experience created to cater to international businesses.,2021
EarnWealth,Financial Services,Pre-series A,$500000,Pune,"EarnWealth is India's First Social Commerce FinTech which enables Financial Consultants, Mutual Fund Distributors, Insurance Agents, Real Estate Consultants, Housewives, Retired People and Students to earn quick money by selling Loans, Credit Cards",2021
Visit Health,"Health, Wellness & Fitness",,$7500000,New Delhi,"Visit is a 360° integrated, highly engaging Health Benefits Platform- covering end to end health & wellness management.",2021
Crater.Club,Media,Seed,$700000,Bangalore,"Crater is where you join 5000+ mentors, creators & experts while they stream their knowledge and skills live.",2021
NFTically,NFT,Seed,$1000000,Gurugram,"NFTically is a global B2B SaaS that enables celebrities, influencers, gamers, clubs & enterprises to launch their own white-label NFT store or NFT Marketplace without any technical knowledge.",2021
ReshaMandi,B2B,Series A,$30000000,Bangalore,"ReshaMandi provides a full-stack digital ecosystem in the form of a super app, from FARM to RETAIL.",2021
Zetwerk,Mechanical Or Industrial Engineering,,$600000000,Bangalore,ZETWERK is a universal manufacturing network powered by new-age technology.,2021
Hubilo,Software Startup,Series B,$125000000,Ahmedabad,Hubilo is the leading hybrid event platform built for engagement and event excellence.,2021
M2P Fintech,Financial Services,Series C,$35000000,Chennai,"M2P fintech was born out of the need to build highly scalable, secure yet nimble technology stack at the intersection of Mobility, Commerce and payments.",2021
Open Financial Technologies,Financial Services,Series C,$90000000,Bangalore,Open is Asia’s first neobanking platform for SMEs and startups.,2021
Niro,Financial Services,Seed,$3500000,Bangalore,Embedding personal credit products into leading consumer internet platforms.,2021
Wiingy,E-learning,,$400000,Bangalore,The ultimate 1:1 live e-learning platform providing personalized hands-on learning for kids,2021
CarDekho,Automotive,Series E,$250000000,Jaipur,Redefining the country’s personal mobility ecosystem with technologically enhanced solutions.,2021
Melorra,D2C jewellery,,$24000000,Bangalore,A company that styles jewellery for the contemporary wardrobe.,2021
AnKa SumMor,Sales and Distribution,Pre-series A,$1000000,Bangalore,"AnKa SumMor is the service that allows businesses to focus on building their brands, while they provide Supply & Distribution expertise.",2021
Toch.ai,SaaS,Series A,$11000000,Mumbai,"Toch is an AI-driven platform that helps broadcasters, OTT platforms, media platforms, and creators to revolutionize videos.",2021
Playto Labs,E-learning,Seed,$500000,Bangalore,Playto Labs provides robotics toys and online classes for kids to help them develop the key 21st century skills. Book a free trial for your child today at www.playtolabs.com,2021
Fraazo,Food & Beverages,Series B,$50000000,Mumbai,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,2021
Arcana,Information Technology & Services,,$2300000,Bangalore,Arcana offers a Privacy Stack SDK to DApp developers on EVM compatible blockchains chains to build Privacy-First products.,2021
FloCareer,Information Services,Series A,$5700000,Bangalore,"The Best Skills Validation Platform that provides ""Interview As-A-Service""?.",2021
Nap Chief,Apparel & Fashion,Seed,$200000,Mumbai,India's favourite Kid's wear and Family Sleepwear D2C Brand,2021
AcknoLedger,Crypto,Seed,$1500000,Mumbai,AcknoLedger is a Global platform that distributes Web 3.0 Digital Assets Seamlessly across all the Metaverses and Gaming,2021
ApplicateAI,Information Technology & Services,Series A,$30000000,Gurugram,"‘ApplicateAI’ is an integrated AI BOT platform for Enterprise with defined and curated work-flows for Sales, Consumer Engagement and Employee support and engagement.",2021
VLCC Health Care,"Health, Wellness & Fitness",,$4000000,Gurugram,VLCC is today widely recognized for its comprehensive portfolio of beauty and wellness products and services,2021
Duroflex,Furniture,,$60000000,Bangalore,"5 decades of experience, superior quality and best in class innovation help us in bringing you a wide range of mattresses, pillows, protectors and other sleep solutions.",2021
Aviom India,Financial Services,Series C,$8000000,Bhilwara,AVIOM India Housing Finance Pvt. Ltd. is a venture started by experienced professionals with a vision to improve the standard of living of families from the informal sector in rural areas,2021
Onato,Computer Software,,$2200000,Bangalore,A startup solving inefficiencies in the agri supply chain,2021
Mestastop Solutions,Biotechnology,,$100000,Bangalore,"Mestastop aims to provide a solution for such challenges with their unique proprietary platforms, METAssay, METSCAN, and METVivo.",2021
SaaS Labs,SaaS,Series A,$17000000,Noida,"Building high impact communication, workflow and productivity tools for sales and support teams throughout the globe.",2021
Devnagri,Translation & Localization,Seed,$600000,Noida,"Devnagri is an AI powered human translation platform, working in all 22 Indian languages.",2021
CRED,Finance,Series E,$250000000,Bangalore,CRED is a credit card payment platform that rewards users with points for paying their bills.,2021
ConveGenius,Education Management,Pre-seed,$5000000,Noida,An EdTech social enterprise focused on closing the gap in educational achievement for children and youth in India.,2021
